t,x_gt,y_gt,x_est,y_est
494.271,-11.4297,-8.97292,-0.76189,1.33872
494.291,-11.4423,-8.97774,-0.766446,1.34078
494.311,-11.4425,-8.97783,-0.771,1.34283
494.331,-11.4425,-8.97783,-0.775587,1.34487
494.351,-11.4552,-8.98284,-0.780154,1.3469
494.371,-11.4554,-8.98294,-0.78471,1.34891
494.391,-11.4641,-8.98644,-0.789317,1.35093
494.411,-11.4644,-8.98653,-0.793871,1.35292
494.431,-11.473,-8.99008,-0.798535,1.35494
494.451,-11.4733,-8.99018,-0.803102,1.35692
494.471,-11.4843,-8.99477,-0.807708,1.3589
494.491,-11.4843,-8.99477,-0.812366,1.36089
494.511,-11.4943,-8.99903,-0.816931,1.36282
494.531,-11.4945,-8.99913,-0.821535,1.36477
494.551,-11.5029,-9.00276,-0.826123,1.36669
494.571,-11.5073,-9.00469,-0.830751,1.36862
494.591,-11.5075,-9.00479,-0.835319,1.37051
494.611,-11.516,-9.00855,-0.839901,1.3724
494.631,-11.5163,-9.00865,-0.844501,1.37429
494.651,-11.5243,-9.01203,-0.849153,1.37618
494.671,-11.5285,-9.01367,-0.85375,1.37804
494.691,-11.5321,-9.01507,-0.858362,1.3799
494.711,-11.5321,-9.01507,-0.863009,1.38176
494.731,-11.5434,-9.01902,-0.867656,1.38362
494.751,-11.5436,-9.01908,-0.872288,1.38545
494.771,-11.5436,-9.01908,-0.876986,1.3873
494.791,-11.5546,-9.02233,-0.881621,1.38912
494.811,-11.5548,-9.02238,-0.886286,1.39093
494.831,-11.5621,-9.02428,-0.890982,1.39275
494.851,-11.5623,-9.02433,-0.895564,1.39451
494.871,-11.5696,-9.02618,-0.900253,1.3963
494.891,-11.5698,-9.02623,-0.904901,1.39807
494.911,-11.5772,-9.02807,-0.909589,1.39984
494.931,-11.5774,-9.02812,-0.914288,1.4016
494.951,-11.5857,-9.03013,-0.918993,1.40335
494.971,-11.5857,-9.03013,-0.923708,1.4051
494.991,-11.5939,-9.03205,-0.928419,1.40683
495.011,-11.5939,-9.03205,-0.93302,1.40851
495.03,-11.6015,-9.03374,-0.937469,1.41013
495.051,-11.6055,-9.03461,-0.942333,1.41189
495.071,-11.6057,-9.03465,-0.947058,1.41358
495.091,-11.6171,-9.03701,-0.95176,1.41526
495.111,-11.6176,-9.0371,-0.956465,1.41694
495.131,-11.6257,-9.03876,-0.961109,1.41857
495.151,-11.6301,-9.03967,-0.965786,1.4202
495.171,-11.6303,-9.03971,-0.970442,1.42182
495.191,-11.6392,-9.04159,-0.975168,1.42345
495.211,-11.6394,-9.04164,-0.979848,1.42505
495.231,-11.6494,-9.04389,-0.98461,1.42668
495.251,-11.6497,-9.04394,-0.989332,1.42828
495.271,-11.6598,-9.04627,-0.994074,1.42987
495.291,-11.6598,-9.04627,-0.998807,1.43145
495.311,-11.6695,-9.04866,-1.00351,1.43301
495.331,-11.6701,-9.04881,-1.00824,1.43457
495.351,-11.6802,-9.05172,-1.01295,1.43611
495.371,-11.6856,-9.05347,-1.0176,1.43762
495.391,-11.6859,-9.05357,-1.02236,1.43915
495.411,-11.6968,-9.05716,-1.02712,1.44065
495.431,-11.6971,-9.05727,-1.03184,1.44214
495.451,-11.7138,-9.06297,-1.03661,1.44361
495.471,-11.7141,-9.06308,-1.04144,1.44509
495.491,-11.7141,-9.06308,-1.04622,1.44654
495.511,-11.7319,-9.06888,-1.05102,1.44797
495.531,-11.7319,-9.06888,-1.05578,1.44937
495.551,-11.7442,-9.07288,-1.06061,1.45078
495.571,-11.7442,-9.07288,-1.06539,1.45214
495.591,-11.7565,-9.07693,-1.07031,1.45352
495.611,-11.7565,-9.07693,-1.07512,1.45483
495.631,-11.7701,-9.08181,-1.08,1.45612
495.651,-11.7701,-9.08181,-1.08479,1.45737
495.671,-11.7841,-9.08697,-1.08961,1.45859
495.691,-11.7841,-9.08697,-1.09443,1.45978
495.711,-11.7991,-9.09238,-1.09928,1.46095
495.731,-11.7995,-9.09251,-1.10415,1.46209
495.751,-11.8134,-9.09751,-1.10895,1.46319
495.771,-11.8138,-9.09764,-1.11382,1.46428
