t,trans_err,rot_err
390.001,8.22314,0.297022
390.021,8.22263,0.296498
390.041,8.22901,0.299656
390.061,8.21983,0.295738
390.081,8.22613,0.298876
390.101,8.21672,0.295484
390.121,8.22294,0.298693
390.141,8.21327,0.296065
390.161,8.21185,0.296974
390.181,8.21815,0.289463
390.201,8.20003,0.277543
390.221,8.20632,0.270136
390.241,8.21316,0.262762
390.261,8.19684,0.256825
390.281,8.20347,0.2494
390.301,8.19595,0.243102
390.321,8.20267,0.235768
390.341,8.19637,0.230037
390.361,8.20314,0.222736
390.381,8.19781,0.214959
390.401,8.20478,0.204929
390.421,8.20008,0.197991
390.441,8.20752,0.187979
390.461,8.20359,0.181536
390.481,8.21125,0.171452
390.501,8.20332,0.167277
390.521,8.21071,0.157244
390.541,8.21846,0.14716
390.561,8.21055,0.143514
390.581,8.21026,0.143642
390.601,8.19889,0.148865
390.621,8.19889,0.148865
390.641,8.187,0.155015
390.661,8.187,0.155015
390.681,8.17557,0.159102
390.701,8.17557,0.159102
390.721,8.16548,0.159603
390.741,8.16548,0.159603
390.761,8.15355,0.159603
390.781,8.15336,0.159603
390.801,8.15336,0.159603
390.821,8.14449,0.159603
390.841,8.14435,0.159603
390.861,8.13985,0.159603
390.881,8.13974,0.159603
390.901,8.13663,0.159603
390.921,8.13656,0.159603
390.941,8.13483,0.159602
390.961,8.1348,0.159602
390.981,8.13442,0.159604
391.001,8.13442,0.159604
391.021,8.13442,0.159605
391.041,8.13442,0.159605
391.061,8.13442,0.159606
391.081,8.13442,0.159606
391.101,8.13442,0.159606
391.121,8.13442,0.159606
391.141,8.13442,0.159606
391.161,8.13442,0.159606
391.181,8.13442,0.159606
391.201,8.13442,0.159606
391.221,8.13442,0.159606
391.241,8.13442,0.159606
391.261,8.13442,0.159606
391.281,8.13442,0.159606
391.301,8.13442,0.159606
391.321,8.13442,0.159606
391.341,8.13442,0.159606
391.361,8.13441,0.159606
391.381,8.13441,0.159606
391.401,8.13441,0.159606
391.421,8.13441,0.159606
391.441,8.13441,0.159606
391.461,8.13441,0.159606
391.481,8.13441,0.159606
391.501,8.13441,0.159606
391.521,8.13441,0.159606
391.541,8.13441,0.159606
391.561,8.13441,0.159606
391.581,8.13441,0.159606
391.601,8.13441,0.159606
391.621,8.13441,0.159606
391.641,8.13441,0.159606
391.661,8.13441,0.159606
391.681,8.13441,0.159606
391.701,8.13441,0.159606
391.721,8.13441,0.159606
391.741,8.13441,0.159606
391.761,8.13441,0.159606
391.781,8.13441,0.159606
391.801,8.13441,0.159606
391.821,8.13441,0.159606
391.841,8.13441,0.159606
391.861,8.13441,0.159606
391.881,8.13441,0.159606
391.901,8.13441,0.159606
391.921,8.13441,0.159606
391.941,8.13441,0.159606
391.961,8.13441,0.159606
391.981,8.13441,0.159606
392.001,8.13441,0.159606
392.021,8.13441,0.159606
392.041,8.13441,0.159606
392.061,8.13441,0.159606
392.081,8.13441,0.159606
392.101,8.13441,0.159606
392.121,8.13441,0.159606
392.141,8.13441,0.159606
392.161,8.13441,0.159606
392.181,8.13441,0.159606
392.2,8.13441,0.159606
392.221,8.13441,0.159606
392.241,8.13441,0.159606
392.261,8.13441,0.159606
392.281,8.13441,0.159606
392.301,8.13441,0.159606
392.321,8.13441,0.159606
392.341,8.13441,0.159606
392.361,8.13441,0.159606
392.381,8.13441,0.159606
392.401,8.13441,0.159606
392.421,8.13441,0.159606
392.441,8.13441,0.159606
392.461,8.13441,0.159606
392.481,8.13441,0.159606
392.501,8.13441,0.159606
392.521,8.13441,0.159606
392.541,8.13441,0.159606
392.561,8.13441,0.159606
392.581,8.13441,0.159606
392.601,8.13441,0.159606
392.621,8.13441,0.159606
392.641,8.13441,0.159606
392.66,8.13441,0.159606
392.681,8.13441,0.159606
392.701,8.13441,0.159606
392.721,8.13441,0.159606
392.741,8.13441,0.159606
392.761,8.13441,0.159606
392.781,8.13441,0.159606
392.801,8.13441,0.159606
392.821,8.13441,0.159606
392.841,8.13441,0.159606
392.861,8.1344,0.159606
392.881,8.1344,0.159606
392.901,8.1344,0.159606
392.923,8.1344,0.159606
392.943,8.1344,0.159606
392.964,8.1344,0.159606
392.984,8.1344,0.159606
393.004,8.1344,0.159606
393.024,8.1344,0.159606
393.044,8.1344,0.159606
393.064,8.1344,0.159606
393.084,8.1344,0.159606
393.104,8.1344,0.159606
393.124,8.1344,0.159606
393.144,8.1344,0.159606
393.164,8.1344,0.159606
393.184,8.1344,0.159606
393.204,8.1344,0.159606
393.224,8.1344,0.159606
393.244,8.1344,0.159606
393.264,8.1344,0.159606
393.284,8.1344,0.159606
393.304,8.1344,0.159606
393.324,8.1344,0.159606
393.344,8.1344,0.159606
393.364,8.1344,0.159606
393.384,8.1344,0.159606
393.404,8.1344,0.159606
393.424,8.1344,0.159606
393.444,8.1344,0.159606
393.464,8.1344,0.159606
393.484,8.1344,0.159606
393.504,8.1344,0.159606
393.524,8.1344,0.159606
393.544,8.1344,0.159606
393.564,8.1344,0.159606
393.584,8.1344,0.159606
393.604,8.1344,0.159606
393.624,8.1344,0.159606
393.644,8.1344,0.159606
393.664,8.1344,0.159606
393.684,8.1344,0.159606
393.704,8.1344,0.159606
393.724,8.1344,0.159606
393.744,8.1344,0.159606
393.764,8.1344,0.159606
393.784,8.1344,0.159606
393.804,8.1344,0.159606
393.824,8.1344,0.159606
393.844,8.1344,0.159606
393.864,8.1344,0.159606
393.884,8.1344,0.159606
393.904,8.1344,0.159606
